source,target,weight,source_name,target_name
Q245343,Q334204,16,Barclays plc,Morgan Stanley
Q666694,Q735261,16,Canadian Imperial Bank of Commerce,Royal Bank of Canada
Q157062,Q95,16,Unilever,Google
Q478214,Q95,16,Tesla,Google
Q483551,Q95,15,Walmart,Google
Q301965,Q467752,15,Sprint Corporation,Verizon Communications
Q20800404,Q478214,15,Alphabet Inc.,Tesla
Q1472929,Q2837996,15,"Nasdaq, Inc.",Alliance Data
Q266423,Q731938,15,Bristol-Myers Squibb,AstraZeneca
Q372657,Q4972280,15,Credit Suisse,Broadridge Financial Solutions
Q116452644,Q95,15,"Netflix, Inc.",Google
Q501476,Q596139,15,Hasbro,Mattel
Q193199,Q219508,15,UBS,Citigroup
Q22243729,Q9584,14,Ferrari,Honda
Q5376211,Q898750,14,Endo International plc,Teva Pharmaceutical Industries Ltd.
Q1359568,Q1472929,14,Alibaba Group,"Nasdaq, Inc."
Q2283,Q334204,14,Microsoft,Morgan Stanley
Q312,Q6723256,14,Apple Inc.,Macerich
Q192314,Q193326,14,JPMorgan Chase,Goldman Sachs
Q1472929,Q15913890,14,"Nasdaq, Inc.",iQIYI
Q2283,Q483551,14,Microsoft,Walmart
Q1113804,Q20800404,13,Comcast,Alphabet Inc.
Q153417,Q3884,13,Kroger,Amazon
Q1645081,Q72539,13,Nucor,U.S. Steel
Q188920,Q407237,13,Delta Air Lines,Air France-KLM
Q1472929,Q20800404,13,"Nasdaq, Inc.",Alphabet Inc.
Q17145596,Q3884,13,Tesco Corporation,Amazon
Q1472929,Q29739,13,"Nasdaq, Inc.",International
Q1472929,Q30635731,13,"Nasdaq, Inc.","Cboe Global Markets, Inc."
Q2529982,Q312,13,The New York Times Company,Apple Inc.
Q570473,Q902397,13,McKesson Corporation,Cardinal Health
Q219635,Q312,13,BlackRock,Apple Inc.
Q212322,Q663596,13,GSK,Gilead Sciences
Q1472929,Q95,13,"Nasdaq, Inc.",Google
Q1655409,Q66,13,Iamgold,Boeing
Q333718,Q898750,13,Johnson & Johnson,Teva Pharmaceutical Industries Ltd.
Q20165,Q26678,12,Nissan,BMW Group
Q478214,Q675585,12,Tesla,Moody's Corporation
Q1472929,Q8074786,12,"Nasdaq, Inc.",Zscaler
Q193326,Q312,12,Goldman Sachs,Apple Inc.
Q470156,Q950380,12,Cencora,CBS Corporation
Q898750,Q902397,12,Teva Pharmaceutical Industries Ltd.,Cardinal Health
Q26678,Q44294,12,BMW Group,Ford Motor Company
Q5376211,Q902397,12,Endo International plc,Cardinal Health
Q26678,Q53268,12,BMW Group,Toyota
Q193199,Q312,12,UBS,Apple Inc.
