company_1,company_2,article_count
Coca-Cola Enterprises,Equifax,1
HSBC,Invesco,1
Google,Whirlpool,1
Amdocs,Nokia,1
Amdocs,Vodafone,1
Hain Celestial Group,Rent-A-Center,1
Ingram Micro,Synnex,1
ExxonMobil,UBS,1
Micron Technology,TSMC,1
Airbnb,Amazon,1
Citigroup,PTC Therapeutics,1
Citigroup,Mastercard,1
Broadridge Financial Solutions,General Mills,1
Citigroup,Plug Power,1
McDermott International,S&P Global,1
BHP,ExxonMobil,1
Medtronic,T. Rowe Price,1
Smith & Nephew,T. Rowe Price,1
AT&T,Southern Company,1
Credit Suisse,GrafTech,1
Simon Property Group,Younkers,1
New Mountain Capital,Salesforce,1
New Mountain Capital,UnitedHealth Group,1
Credit Suisse,PTC Therapeutics,1
International,Mattel,1
Stein Mart,Tailored Brands,1
Bank of America,TransUnion,1
CIT Group,Deutsche Bank,1
CIT Group,Ingram Micro,1
Deutsche Bank,Ingram Micro,1
Baidu,eBay,1
Tyson Foods,Viacom,1
Advanced Energy,IDEX Corporation,1
FedEx,MetLife,1
Life Technologies,Thermo Fisher Scientific,1
Accenture,Envestnet,1
Lithia Motors,Toyota,1
Citigroup,ConocoPhillips,1
CoStar Group,LoopNet,1
Blackstone Group,Park Hotels & Resorts,1
Match Group,Vimeo,1
Motorola,SMTC Corporation,1
Cimarex Energy,Devon Energy,1
AutoNation,Nissan,1
AutoNation,Omnicom Group,1
AutoNation,Ulta Beauty,1
La-Z-Boy,McDonald's,1
La-Z-Boy,Nissan,1
Goldman Sachs,Mastercard,1
Deutsche Bank,Oaktree Capital Management,1
Amazon,Siemens,1
Google,Silicon Graphics International,1
AT&T,Carlyle Group,1
AT&T,Eletrobras,1
Carlyle Group,Eletrobras,1
Salesforce,UnitedHealth Group,1
Kraft Foods Group,Kraft Heinz,1
Kraft Foods Group,Restaurant Brands International,1
Kraft Heinz,Restaurant Brands International,1
IBM,Itron,1
Costco,Google,1
BP,Randgold Resources,1
Carbonite,Silicon Valley Bank,1
Goldman Sachs,SoFi,1
Deutsche Bank,Wyndham Worldwide,1
Goldman Sachs,Wyndham Worldwide,1
Baidu,Wells Fargo,1
Advance America,AutoNation,1
Advance America,La-Z-Boy,1
Advance America,McDonald's,1
Advance America,Nissan,1
Advance America,Omnicom Group,1
Advance America,Ulta Beauty,1
AutoNation,La-Z-Boy,1
AutoNation,McDonald's,1
La-Z-Boy,Omnicom Group,1
La-Z-Boy,Ulta Beauty,1
McDonald's,Omnicom Group,1
McDonald's,Ulta Beauty,1
Nissan,Omnicom Group,1
Nissan,Ulta Beauty,1
Omnicom Group,Ulta Beauty,1
Baker Hughes,Moelis & Company,1
Adobe,eBay,1
FMC Corporation,Ford Motor Company,1
Gartner,ServiceNow,1
Baidu,Citigroup,1
Cimpress,PepsiCo,1
Adobe,Keysight Technologies,1
Edison International,IBM,1
Edison International,Itron,1
IBM,ServiceNow,1
ServiceNow,Veeva Systems,1
Uber,Visa,1
DXC Technology,Unisys,1
Avery Dennison,PepsiCo,1
American Greetings,HSBC,1
American Greetings,Sumitomo Mitsui Financial Group,1
Deutsche Bank,Sumitomo Mitsui Financial Group,1
HSBC,Sumitomo Mitsui Financial Group,1
Bank of America,GSK,1
Bank of America,Pfizer,1
Goldman Sachs,Pfizer,1
Morgan Stanley,Pfizer,1
Bank of America,SJW Group,1
GSK,Liberty Property Trust,1
CalAmp,LoJack,1
JetBlue Airways,Johnson & Johnson,1
JetBlue Airways,Mattel,1
Johnson & Johnson,Mattel,1
Motorola,SolarWinds,1
Comcast,Nissan,1
Axalta Coating Systems,Deutsche Telekom,1
Micron Technology,Nike,1
Carlyle Group,Goldman Sachs,1
CIT Group,S&P Global Ratings,1
CalAmp,TransUnion,1
LoJack,TransUnion,1
CenterPoint Energy,Fresenius Medical Care,1
CenterPoint Energy,United Bank,1
Fresenius Medical Care,United Bank,1
Goldman Sachs,Yingli,1
Equifax,Synchrony Financial,1
American Airlines,Brookfield Properties,1
Brookfield Properties,United Airlines,1
Aruba Networks,Barracuda Networks,1
Aruba Networks,Fortinet,1
Aruba Networks,Hewlett Packard Enterprise,1
Barracuda Networks,Fortinet,1
Barracuda Networks,Hewlett Packard Enterprise,1
Fortinet,Hewlett Packard Enterprise,1
HSBC,JPMorgan Chase,1
JPMorgan Chase,UBS,1
Hill International,Stewart Information Services Corporation,1
Comcast,PJT Partners,1
Morgan Stanley,PJT Partners,1
Kroger,Walgreens,1
General Motors,Johnson & Johnson,1
General Motors,Mattel,1
Apollo Global Management,Morgan Stanley,1
Boeing,Monsanto,1
Boeing,TransUnion,1
Monsanto,TransUnion,1
Honda,McDonald's,1
McDonald's,Toyota,1
Nike,Nokia,1
Adobe,Warner Music Group,1
Caterpillar,National Grid,1
Comcast,Viacom,1
RealPage,Starbucks,1
Intel,Sun Microsystems,1
General Motors,eBay,1
Knight Capital Group,Virtu Financial,1
General Motors,JetBlue Airways,1
Kodak,Nokia,1
Express Scripts,Toyota,1
Hewlett-Packard,Uber,1
CrowdStrike,Palo Alto Networks,1
Spirit AeroSystems,Triumph Group,1
Deutsche Telekom,Viasat,1
Shire plc,ViroPharma,1
AT&T,Mitel,1
AT&T,Polycom,1
AT&T,RingCentral,1
Google,Mitel,1
Digi International,IBM,1
Credit Suisse,Zoom Video Communications,1
UBS,Zoom Video Communications,1
Getty Images,Viacom,1
AT&T,General Motors,1
Geron Corporation,Jazz Pharmaceuticals,1
Marathon Oil,Tyson Foods,1
Hewlett-Packard,Pentair,1
Hewlett-Packard,Sun Microsystems,1
AT&T,Extreme Networks,1
Citigroup,Extreme Networks,1
Shell,Vedanta Resources,1
Google,RingCentral,1
IBM,Mitel,1
IBM,Polycom,1
Microsoft,Mitel,1
Microsoft,Polycom,1
Mitel,Polycom,1
Mitel,RingCentral,1
Polycom,RingCentral,1
HRG Group,Spectrum Brands,1
CRISPR Therapeutics,Vertex Pharmaceuticals,1
Boeing,UBS,1
Citigroup,Micron Technology,1
First Interstate Bank,Wells Fargo,1
Amazon,"Precigen, Inc",1
BHP,Unilever,1
BHP,Vodafone,1
Amazon,United Parcel Service,1
Google,United Parcel Service,1
AMD,Boeing,1
AMD,Caterpillar,1
AMD,General Motors,1
AMD,Tesla,1
Google,Polycom,1
Nike,UBS,1
ExxonMobil,Marathon Oil,1
ExxonMobil,Tyson Foods,1
Amazon,General Motors,1
Boeing,Tesla,1
Caterpillar,Tesla,1
Broadcom,FactSet,1
FactSet,NXP Semiconductors,1
Apollo Global Management,National Grid,1
International,Siemens,1
American Express,Johnson & Johnson,1
AmBev,UBS,1
EHang,Intel,1
ArcelorMittal,Shell,1
Shell,Siemens,1
Sears,Seritage Growth Properties,1
Sears,Stanley Black & Decker,1
Seritage Growth Properties,Stanley Black & Decker,1
Boeing,Nokia,1
SVB Financial Group,Silicon Valley Bank,1
Nike,Prudential Financial,1
American International Group,UBS,1
American International Group,XL Group,1
UBS,XL Group,1
International Paper,Lazard,1
International Paper,MeadWestvaco,1
International Paper,Wells Fargo,1
Lazard,MeadWestvaco,1
Lazard,Wells Fargo,1
MeadWestvaco,Wells Fargo,1
Deutsche Bank,Getty Images,1
Deutsche Bank,Intel,1
Deutsche Bank,SAP,1
Getty Images,IBM,1
Getty Images,Intel,1
Alaska Airlines,Hawaiian Airlines,1
Getty Images,SAP,1
Google,Nvidia,1
PriceSmart,Walmart,1
AerCap,Boeing,1
BHP,Vale,1
Google,Tencent Music,1
Microsoft,Tencent Music,1
Amazon,Sonos,1
Citigroup,Stifel,1
Micron Technology,Stifel,1
Micron Technology,UBS,1
Micron Technology,Wells Fargo,1
Stifel,UBS,1
Stifel,Wells Fargo,1
Instacart,Kroger,1
BankUnited,Raytheon,1
Caesars Entertainment,Wynn Resorts,1
CA Technologies,Ruckus Networks,1
Goldman Sachs,eBay,1
Republic Services,Waste Connections,1
Amazon,Micron Technology,1
Amazon,Stifel,1
Microsoft,ServiceNow,1
FTI Consulting,Rex Energy,1
Comcast,MSCI,1
Google,Verizon Communications,1
MSCI,Verizon Communications,1
Arena Pharmaceuticals,Geron Corporation,1
IBM,Pegasystems,1
Microsoft,Pegasystems,1
Acuity Brands,Morgan Stanley,1
British American Tobacco,Comcast,1
Comcast,UBS,1
AT&T,Nike,1
AT&T,Prudential Financial,1
Delta Air Lines,Hawaiian Airlines,1
Delta Air Lines,Spirit Airlines,1
Delta Air Lines,Virgin America,1
Hawaiian Airlines,Spirit Airlines,1
Hawaiian Airlines,Virgin America,1
Spirit Airlines,Virgin America,1
Nokia,ShoreTel,1
Nokia,Sotheby's,1
ShoreTel,Sotheby's,1
Credit Suisse,PepsiCo,1
Axalta Coating Systems,Carlyle Group,1
Axalta Coating Systems,Comcast,1
Credit Suisse,Marathon Petroleum,1
MPLX,Marathon Petroleum,1
Carlyle Group,Comcast,1
Carlyle Group,General Cable,1
Carlyle Group,Liberty Global,1
Comcast,General Cable,1
General Cable,Liberty Global,1
Southwest Airlines,Walmart,1
Fortune Brands Home & Security,Mohawk Industries,1
Dean Foods,PepsiCo,1
Dean Foods,Viad,1
PepsiCo,Viad,1
Corporacion America Airports,Grupo Aeroportuario Centro Norte,1
Meredith Corporation,Moelis & Company,1
Alaska Airlines,Spirit Airlines,1
JPMorgan Chase,Microsoft,1
Starbucks,Unilever,1
Hewlett Packard Enterprise,UBS,1
Micro Focus International,UBS,1
DowDuPont,Evogene Ltd,1
Alibaba Group,Amazon,1
Life Technologies,Maxygen,1
Life Technologies,Qiagen,1
Maxygen,Qiagen,1
CGI,eBay,1
United Bank,United Financial Bancorp,1
PepsiCo,Tesla,1
Intel,Salix Pharmaceuticals,1
Motorola,Tyco International,1
Deutsche Bank,General Motors,1
Citigroup,First Hawaiian Bank,1
First Hawaiian Bank,Goldman Sachs,1
CRISPR Therapeutics,Lehman Brothers,1
CRISPR Therapeutics,STX Entertainment,1
CRISPR Therapeutics,Semiconductor Manufacturing International Corporation,1
Lehman Brothers,STX Entertainment,1
Lehman Brothers,Semiconductor Manufacturing International Corporation,1
STX Entertainment,Semiconductor Manufacturing International Corporation,1
Ferrari,Toyota,1
Avis Budget Group,I.D. Systems,1
Moelis & Company,UBS,1
Canadian National Railway,Canadian Natural Resources,1
Canadian National Railway,Suncor Energy,1
Juniper Networks,Mitel,1
Mitel,Nortel,1
Credit Suisse,Randgold Resources,1
Amazon,CGI,1
Mondelez International,Starbucks,1
Alcoa,Century Aluminum,1
Alcoa,Nucor,1
Alcoa,U.S. Steel,1
Century Aluminum,Nucor,1
GlobalFoundries,STMicroelectronics,1
GlobalFoundries,Siemens,1
STMicroelectronics,Siemens,1
Ford Motor Company,SAP,1
Bank of Ireland,HSBC,1
Bank of Ireland,Lloyds Banking Group,1
General Mills,Mondelez International,1
General Mills,Starbucks,1
MSCI,Silicon Valley Bank,1
Randgold Resources,Ryanair,1
Equifax,Mastercard,1
Mitel,ShoreTel,1
Humana,JPMorgan Chase,1
Goldman Sachs,Petrobras,1
Amazon,TD Ameritrade,1
Amazon,Booking Holdings,1
Allegiant Air,Delta Air Lines,1
ASML,Scotiabank,1
Caterpillar,International Paper,1
International Paper,Microsoft,1
PepsiCo,Philip Morris International,1
PepsiCo,Procter & Gamble,1
Philip Morris International,Procter & Gamble,1
Charter Communications,Viacom,1
Alcoa,Boeing,1
Alcoa,Caterpillar,1
Alcoa,Dollar General,1
Credit Suisse,Ryanair,1
General Motors,Ingersoll Rand,1
Ingersoll Rand,Tesla,1
McDermott International,Nokia,1
IBM,Salesforce,1
ISS,USG Corporation,1
Coca-Cola FEMSA,FEMSA,1
Invesco,MSCI,1
Alcoa,Steel Dynamics,1
Boeing,Dollar General,1
Boeing,Steel Dynamics,1
Caterpillar,Dollar General,1
Caterpillar,Steel Dynamics,1
Dollar General,General Motors,1
Dollar General,Steel Dynamics,1
General Motors,Steel Dynamics,1
PepsiCo,USANA Health Sciences,1
Boston Scientific,Hologic,1
Hyundai Motor America,Toyota,1
Deutsche Bank,Intercept Pharmaceuticals,1
HSBC,Randgold Resources,1
Blackstone Group,Goldman Sachs,1
Blackstone Group,HSBC,1
Blackstone Group,Royal Bank of Canada,1
Blackstone Group,UBS,1
Blackstone Group,Wells Fargo,1
Credit Suisse,Royal Bank of Canada,1
HSBC,Wells Fargo,1
Alcoa,General Motors,1
MSCI,Wells Fargo,1
Silicon Valley Bank,Wells Fargo,1
Gartner,IBM,1
Gartner,SAP,1
Applied Genetic Technologies Corporation,Eli Lilly and Company,1
Amazon,Duke Energy,1
Amazon,Prudential Financial,1
Duke Energy,Prudential Financial,1
General Electric,HSBC,1
General Electric,Nokia,1
HSBC,Nokia,1
Intel,Novell,1
AMD,American Express,1
AMD,TSMC,1
American Express,Intel,1
American Express,TSMC,1
Intel,TSMC,1
Dow Jones Utility Average,WEC Energy Group,1
Heidrick & Struggles,United Airlines,1
Lehman Brothers,UBS,1
BP,Intel,1
Goldman Sachs,Invesco,1
General Motors,Magna International,1
LabCorp,Luminex,1
UBS,Vodafone,1
Amazon,Walgreens,1
Aetna,Express,1
Intel,PepsiCo,1
Microsoft,PepsiCo,1
Morgan Stanley,PepsiCo,1
Brunswick Corporation,Wells Fargo,1
Accenture,Microsoft,1
Royal Bank of Canada,UBS,1
Invesco,Shell,1
Abbott Laboratories,Applied Genetic Technologies Corporation,1
Abbott Laboratories,Eli Lilly and Company,1
Kodak,Stratasys,1
British American Tobacco,Siemens,1
Amazon,Yatra.com,1
PepsiCo,Yatra.com,1
PepsiCo,eBay,1
Yatra.com,eBay,1
General Electric,Hawaiian Airlines,1
ArcelorMittal,Bank of America,1
Google,Juniper Networks,1
AT&T,Cisco,1
AT&T,Motorola,1
Cisco,IBM,1
Cisco,Microsoft,1
Grab,Toyota,1
Monsanto,Nokia,1
Nokia,SAP,1
General Motors,Sevcon,1
Innoviz Technologies,Magna International,1
Innoviz Technologies,Sevcon,1
Magna International,Sevcon,1
Albany International,Boeing,1
IBM,Procter & Gamble,1
Nike,Tesla,1
BHP,UBS,1
Natera,Qiagen,1
Akamai Technologies,Neustar,1
Akamai Technologies,Time Warner Cable,1
Neustar,Time Warner Cable,1
AstraZeneca,Liberty Global,1
BP,Liberty Global,1
Colliers International,Walker & Dunlop,1
Heidrick & Struggles,Marsh & McLennan Companies,1
American International Group,Pioneer Natural Resources,1
Equifax,International,1
FactSet,Match Group,1
PepsiCo,Stratasys,1
National Grid,Nissan,1
Eversource Energy,National Grid,1
AstraZeneca,British American Tobacco,1
AstraZeneca,HSBC,1
British American Tobacco,Gilead Sciences,1
British American Tobacco,Novartis,1
Gilead Sciences,HSBC,1
Gilead Sciences,Novartis,1
Gilead Sciences,Unilever,1
HSBC,Novartis,1
Sonos,Viacom,1
Cisco,Motorola,1
Caterpillar,Siemens,1
Caterpillar,UBS,1
Microsoft,Sun Microsystems,1
NetApp,Sun Microsystems,1
Buckeye Partners,Noble Energy,1
Google,Toyota,1
SAP,Toyota,1
Honda,Uber,1
BlackRock,Visa,1
Bank of America,Microsoft,1
General Motors,Google,1
Express Scripts,Regeneron Pharmaceuticals,1
Procter & Gamble,The Hershey Company,1
Equifax,OneSpan,1
Equifax,TransUnion,1
OneSpan,TransUnion,1
AT&T,American Airlines,1
AT&T,Boeing,1
AT&T,Southwest Airlines,1
BlackRock,Google,1
BlackRock,MSCI,1
BorgWarner,General Motors,1
BorgWarner,Innoviz Technologies,1
BorgWarner,Magna International,1
BorgWarner,Sevcon,1
General Motors,Innoviz Technologies,1
BHP,SSR Mining,1
BP,GSK,1
British American Tobacco,GSK,1
BHP,HSBC,1
Intel,MSCI,1
Broadridge Financial Solutions,PPL,1
Butterfield Bank,UBS,1
AMD,Johnson & Johnson,1
AMD,Pfizer,1
SurveyMonkey,Unilever,1
Applied Genetic Technologies Corporation,Biogen,1
Deere & Company,Target Corporation,1
Canadian Imperial Bank of Commerce,Magna International,1
Blackbaud,Zeta Interactive,1
Blackbaud,eBay,1
Zeta Interactive,eBay,1
Clorox,Deutsche Bank,1
Adobe,Amazon,1
Adobe,Credit Suisse,1
Johnson & Johnson,Office Depot,1
AT&T,Credit Suisse,1
Restaurant Brands International,Tim Hortons,1
Caesars Entertainment,MGM Resorts International,1
Adobe,VMware,1
Amazon,VMware,1
Credit Suisse,VMware,1
Korea Electric Power Corporation,Southern California Edison,1
Logitech,Procter & Gamble,1
Logitech,Whirlpool,1
Procter & Gamble,Whirlpool,1
GoPro,Morgan Stanley,1
Bank of America,Lending Club,1
Citigroup,Lending Club,1
Citigroup,Visa,1
Credit Suisse,Lending Club,1
Credit Suisse,Visa,1
Lending Club,Visa,1
Butterfield Bank,Canadian Imperial Bank of Commerce,1
Lehman Brothers,Lumber Liquidators,1
Mattson Technology,Quantum Corporation,1
AT&T,International,1
Goldman Sachs,ISS,1
Amgen,Bristol-Myers Squibb,1
Amgen,Eli Lilly and Company,1
Bristol-Myers Squibb,Eli Lilly and Company,1
Boeing,Google,1
Boeing,IBM,1
Bausch & Lomb,Mallinckrodt Pharmaceuticals,1
Deutsche Bank,Pentair,1
Morgan Stanley,Pentair,1
DoorDash,Google,1
JPMorgan Chase,NextEra Energy,1
BP,Petrobras,1
Petrobras,Shell,1
HSBC,Ryanair,1
Boeing,Wells Fargo,1
Southwest Airlines,Wells Fargo,1
Amazon,FireEye,1
Amazon,Juniper Networks,1
FireEye,Juniper Networks,1
FireEye,Microsoft,1
Ford Motor Company,Toyota,1
HSBC,Mitsubishi UFJ Financial Group,1
McDonald's,Nike,1
Citigroup,Crown Holdings,1
Amazon,Procter & Gamble,1
Esterline,ITT Corporation,1
Google,JPMorgan Chase,1
JPMorgan Chase,Tesla,1
Mondelez International,Willis Towers Watson,1
Hewlett-Packard,Qualcomm,1
BHP,Noble Energy,1
Aptiv,Ford Motor Company,1
Aptiv,General Motors,1
AT&T,Target Corporation,1
International,Target Corporation,1
Sun Communities,UDR,1
Delta Air Lines,Southwest Airlines,1
Southwest Airlines,United Airlines,1
Dunkin' Brands,The Coca-Cola Company,1
Dunkin' Brands,The J.M. Smucker Company,1
The Coca-Cola Company,The J.M. Smucker Company,1
AT&T,Broadcom,1
AT&T,Brocade Communications Systems,1
AT&T,Qualcomm,1
International,Meritor,1
McDonald's,RadiSys,1
McDonald's,Wells Fargo,1
Nike,RadiSys,1
RadiSys,Wells Fargo,1
Baidu,BlackBerry,1
Hewlett Packard Enterprise,Motorola,1
Bilibili,Broadridge Financial Solutions,1
BP,General Motors,1
AT&T,Charter Communications,1
Broadcom,Motorola,1
Brocade Communications Systems,Deutsche Bank,1
Brocade Communications Systems,Hewlett-Packard,1
Brocade Communications Systems,Morgan Stanley,1
Brocade Communications Systems,Qualcomm,1
Deutsche Bank,Hewlett-Packard,1
Hewlett-Packard,Morgan Stanley,1
IBM,Nvidia,1
Microsoft,Nvidia,1
Morgan Stanley,Nvidia,1
Agios Pharmaceuticals,Novartis,1
Dover Corporation,General Electric,1
General Electric,Lazard,1
BP,Hewlett Packard Enterprise,1
BP,United Airlines,1
CME Group,Nissan,1
Boeing,JPMorgan Chase,1
General Electric,JPMorgan Chase,1
PACCAR,Sierra Wireless,1
DBV Technologies,Goldman Sachs,1
DBV Technologies,Morgan Stanley,1
Alexion Pharmaceuticals,Amgen,1
Broadcom,Brocade Communications Systems,1
Airbnb,Trivago,1
General Mills,Google,1
Advantest,Kyocera,1
Advantest,MSCI,1
Kyocera,MSCI,1
Avnet,Mortgage Guaranty Insurance Corporation,1
Community Health Systems,Health Management Associates,1
American River Bank,Colliers International,1
Magellan Midstream Partners,Phillips 66,1
Deutsche Bank,General Electric,1
Abbott Laboratories,Boston Scientific,1
Abbott Laboratories,Medtronic,1
Boston Scientific,Medtronic,1
Bank of America,Lazard,1
Amazon,Nvidia,1
Deutsche Bank,Nvidia,1
HSBC,Uber,1
Morgan Stanley,Uber,1
Royal Bank of Canada,Uber,1
Citigroup,The Walt Disney Company,1
IBM,Lehman Brothers,1
IBM,The Walt Disney Company,1
Avaya,Hewlett-Packard,1
Eversource Energy,Wells Fargo,1
SJW Group,Wells Fargo,1
AstraZeneca,DuPont,1
AstraZeneca,FMC Corporation,1
Caterpillar,Morgan Stanley,1
Endo International plc,International,1
Compaq,Motorola,1
Yum China,Yum! Brands,1
21st Century Fox,Amazon,1
SuperValu,Sysco,1
SuperValu,United Natural Foods,1
Sysco,United Natural Foods,1
Johnson & Johnson,MSCI,1
Johnson & Johnson,Procter & Gamble,1
MSCI,Procter & Gamble,1
Intel,Nvidia,1
Canadian Natural Resources,Enbridge,1
Abbott Laboratories,Texas Instruments,1
Alexion Pharmaceuticals,Boeing,1
Alexion Pharmaceuticals,Sears,1
Boeing,Sears,1
Boeing,National Bank of Greece,1
Boeing,Xerox,1
National Bank of Greece,Xerox,1
Deutsche Bank,Uber,1
Biogen,Editas Medicine,1
Biogen,PerkinElmer,1
Lehman Brothers,The Walt Disney Company,1
Deutsche Telekom,OTE,1
Dean Foods,Oppenheimer Holdings,1
Coeur Mining,Teck Resources,1
Comcast,Netgear,1
Flagstar Bank,United Wholesale Mortgage,1
BEA Systems,IBM,1
Comcast,ExxonMobil,1
ExxonMobil,Walmart,1
Affirm,The Honest Company,1
PACCAR,Spartan Motors,1
Canadian Natural Resources,Manulife Financial,1
Safeway,Sysco,1
Safeway,United Natural Foods,1
Goldman Sachs,Prudential Financial,1
JPMorgan Chase,Prudential Financial,1
Prudential Financial,Wells Fargo,1
AT&T,Emerson Electric,1
Marathon Oil,PNC Financial Services,1
Marathon Oil,PPG Industries,1
Canadian Natural Resources,Royal Bank of Canada,1
Canadian National Railway,Cenovus Energy,1
General Electric,Google,1
General Electric,Procter & Gamble,1
Deutsche Bank,Thor Industries,1
Thor Industries,UBS,1
Mitel,Teradata,1
Allison Transmission,General Motors,1
ISS,Wynn Resorts,1
International,OTE,1
General Electric,Texas Instruments,1
AstraZeneca,Boeing,1
Boeing,Unilever,1
Costco,Sysco,1
Costco,United Natural Foods,1
Kroger,SuperValu,1
Kroger,Sysco,1
Kroger,United Natural Foods,1
SAP,Unisys,1
AT&T,SunPower,1
Google,SunPower,1
DST Systems,S&P Global,1
Costco,Humana,1
Humana,Kroger,1
Arrow Electronics,DaVita,1
Qualcomm,SomaLogic,1
Frontier Communications,PNC Financial Services,1
Frontier Communications,Sykes Enterprises,1
Frontier Communications,TECO Energy,1
Marriott International,Marshall & Ilsley,1
Marriott International,PNC Financial Services,1
Marriott International,Sykes Enterprises,1
Marriott International,TECO Energy,1
Marathon Oil,U.S. Steel,1
PNC Financial Services,PPG Industries,1
PNC Financial Services,U.S. Steel,1
PPG Industries,U.S. Steel,1
Deutsche Telekom,Morgan Stanley,1
BP,Ford Motor Company,1
BP,National Grid,1
Airbnb,Morgan Stanley,1
Editas Medicine,PerkinElmer,1
Burlington,PRA Group,1
BP,Procter & Gamble,1
ASML,Deutsche Bank,1
ASML,STMicroelectronics,1
Deutsche Bank,STMicroelectronics,1
Infosys,Wipro,1
VMware,Zscaler,1
Ally Financial,Bank of America,1
Bank of America,Frontier Communications,1
Bank of America,Marriott International,1
Bank of America,Marshall & Ilsley,1
Bank of America,PNC Financial Services,1
Bank of America,Sykes Enterprises,1
Bank of America,TECO Energy,1
Frontier Communications,Marriott International,1
Frontier Communications,Marshall & Ilsley,1
CIT Group,JPMorgan Chase,1
CIT Group,Morgan Stanley,1
CIT Group,SunTrust Banks,1
CIT Group,U.S. Bancorp,1
Goldman Sachs,SunTrust Banks,1
JPMorgan Chase,SunTrust Banks,1
JPMorgan Chase,U.S. Bancorp,1
A10 Networks,Aerohive Networks,1
Marshall & Ilsley,PNC Financial Services,1
Marshall & Ilsley,Sykes Enterprises,1
Marshall & Ilsley,TECO Energy,1
PNC Financial Services,Sykes Enterprises,1
PNC Financial Services,TECO Energy,1
Sykes Enterprises,TECO Energy,1
ForgeRock,Gartner,1
Goldman Sachs,iQIYI,1
CVS Health,GSK,1
CVS Health,Walgreens Boots Alliance,1
Deutsche Bank,GSK,1
Deutsche Bank,Walgreens Boots Alliance,1
GSK,Walgreens Boots Alliance,1
DuPont,Novartis,1
Adobe,Morgan Stanley,1
Abbott Laboratories,General Electric,1
CA Technologies,Google,1
Ally Financial,Goldman Sachs,1
Ally Financial,JPMorgan Chase,1
Ally Financial,Morgan Stanley,1
Ally Financial,SunTrust Banks,1
Ally Financial,U.S. Bancorp,1
Bank of America,CIT Group,1
CIT Group,Goldman Sachs,1
Federal-Mogul,Tenneco,1
Microsoft,NetEase,1
Citigroup,General Motors,1
General Motors,JPMorgan Chase,1
General Motors,Morgan Stanley,1
General Motors,Wells Fargo,1
Advantage Oil & Gas,Blackstone Group,1
Citigroup,Fiat Chrysler Automobiles,1
Citigroup,Tesla,1
Fiat Chrysler Automobiles,Goldman Sachs,1
Fiat Chrysler Automobiles,Google,1
Fiat Chrysler Automobiles,Morgan Stanley,1
Fiat Chrysler Automobiles,Tesla,1
Ally Financial,CIT Group,1
Qualcomm,UBS,1
CVS Health,Deutsche Bank,1
Citigroup,Unisys,1
Google,Unisys,1
Microsoft,Unisys,1
Broadridge Financial Solutions,Duke Energy,1
Citigroup,Duke Energy,1
Credit Suisse,Duke Energy,1
Duke Energy,Morgan Stanley,1
Accenture,Credit Suisse,1
IBM,MFS Investment Management,1
Dassault Systèmes,Sun Microsystems,1
ArcelorMittal,Brookfield Business Partners,1
Dollar General,Fred's,1
Amazon,Sprouts Farmers Market,1
Instacart,Sprouts Farmers Market,1
Sprouts Farmers Market,Whole Foods Market,1
Deutsche Bank,Prologis,1
Estée Lauder,Revlon,1
Unilever,Walmart,1
Shaw Communications,Suncor Energy,1
Marriott International,Starwood,1
FireEye,Google,1
FireEye,LifeLock,1
Citigroup,General Electric,1
Goldman Sachs,Tesla,1
Nissan,SAP,1
General Motors,Uber,1
CA Technologies,Citigroup,1
CA Technologies,IBM,1
CA Technologies,Microsoft,1
CA Technologies,SAP,1
CA Technologies,Unisys,1
Citigroup,SAP,1
Mizuho Financial Group,Sumitomo Mitsui Financial Group,1
Allergan plc,Tyco International,1
IBM,Link Motion Inc,1
Link Motion Inc,Microsoft,1
Boeing,Rockwell Collins,1
Morgan Stanley,Principal Financial Group,1
Hewlett Packard Enterprise,Novell,1
Hewlett Packard Enterprise,Progress Software,1
Novell,Progress Software,1
Alibaba Group,Cenovus Energy,1
Alibaba Group,Dow Jones Industrial Average,1
BP,Kroger,1
BP,PBF Energy,1
ExxonMobil,PBF Energy,1
Credit Suisse,ISS,1
Diebold Nixdorf,Jack Henry & Associates,1
Johnson & Johnson,United Airlines,1
SM Energy,Southwestern Energy,1
Cenovus Energy,Dow Jones Industrial Average,1
Cloudflare,Microsoft,1
Cloudflare,Mimecast,1
Microsoft,Mimecast,1
Deutsche Bank,Lumentum Holdings,1
Deutsche Bank,TSMC,1
Lumentum Holdings,Morgan Stanley,1
Lumentum Holdings,TSMC,1
Morgan Stanley,TSMC,1
BlackRock,Lloyds Banking Group,1
PepsiCo,Wells Fargo,1
Caterpillar,Freeport-McMoRan,1
Freeport-McMoRan,Intel,1
Freeport-McMoRan,Microsoft,1
Credit Suisse,Iron Mountain Incorporated,1
PepsiCo,Pfizer,1
Air France-KLM,Copa Airlines,1
Copa Airlines,Delta Air Lines,1
British American Tobacco,Citigroup,1
Express Scripts,International,1
Alaska Airlines,American Airlines,1
Alaska Airlines,United Airlines,1
Atmel,Microchip Technology,1
Kansas City Southern,Morgan Stanley,1
Apollo Global Management,General Electric,1
Apollo Global Management,SunEdison,1
Apollo Global Management,SunPower,1
General Electric,SunEdison,1
General Electric,SunPower,1
SunEdison,SunPower,1
Morgan Stanley,Whole Foods Market,1
Deutsche Telekom,Verizon Communications,1
Etsy,Goldman Sachs,1
Etsy,Morgan Stanley,1
AT&T,Etsy,1
