company_id,company,article_count
Q502121,BlackBerry,24
Q38589917,DowDuPont,24
Q483637,Anadarko Petroleum,24
Q607131,MetLife,24
Q941127,Salesforce,24
Q2037125,State Street Corporation,24
Q1089060,Chubb Corp.,24
Q835456,Sun Life Financial,24
Q1141173,Marriott International,23
Q26049,Aetna,23
Q7414,The Walt Disney Company,23
Q1809448,Whole Foods Market,23
Q5906990,Hortonworks,23
Q4751571,Anaplan,23
Q18354527,Trinseo,23
Q18712620,Walgreens Boots Alliance,23
Q489921,Mastercard,23
Q106158,S&P Global Ratings,23
Q898208,"Honeywell International, Inc.",23
Q174198,Gartner,23
Q1577587,Marathon Oil,23
Q677464,Dominion Energy,23
Q795221,CNOOC Limited,22
Q864338,Biogen,22
Q180816,Dow Jones Industrial Average,22
Q430745,Teradata,22
Q806693,BMO Financial Group,22
Q1283291,Valero Energy,22
Q72539,U.S. Steel,22
Q294721,AMC Theatres,22
Q7712716,The Advisory Board Company,21
Q3518066,Tenet Healthcare,21
Q7893929,Universal Corporation,21
Q503182,PetroChina Company Limited,21
Q570473,McKesson Corporation,21
Q12857502,Mondelez International,21
Q1785405,Newmont Mining Corporation,21
Q899133,Takeda Pharmaceutical Company,21
Q5041354,Carlisle Companies,20
Q1034654,Capital One,20
Q3511946,T. Rowe Price,20
Q60269744,Spotify Technology,20
Q501476,Hasbro,20
Q668737,Yum! Brands,20
Q52825,ABB Group,20
Q1024454,CSX Corporation,19
Q5337641,Edgewell Personal Care,19
Q123616697,Camden National Corporation,19
Q7098806,Optical Cable Corporation,19
Q1453620,Freeport-McMoRan,19
Q522617,Invesco,19
Q5450340,Finisar,19
Q624798,Canadian National Railway,19
Q119991,APA Corporation,19
Q715583,Costco,19
Q906187,Allergan plc,19
Q496302,Deere & Company,19
Q8074786,Zscaler,19
Q2288792,Sinclair Broadcast Group,19
Q1472539,Alpha Tomo Global Resoures Sdn Bhd,19
Q24525746,BCE Inc.,18
Q38928,PNC Financial Services,18
Q1049080,Juniper Networks,18
Q259011,Motorola,18
Q217583,Berkshire Hathaway,18
Q7045708,Noble Corporation,18
Q1471346,Whirlpool,18
Q571779,Liberty Global,18
Q3301958,Overstock.com,17
Q768231,Express Scripts,17
Q420822,Gap Inc.,17
Q908324,Brookfield Corporation,17
Q16981175,Lennar Corporation,17
Q931032,Kinder Morgan,17
Q1264404,Duke Energy,17
Q193412,Texas Instruments,17
Q1852556,Philip Morris International,17
Q47500199,Aurora Cannabis,17
Q2901365,Mobileye,17
Q192814,Harley-Davidson,17
Q7311031,"Reliance, Inc.",16
Q842947,Celgene,16
Q27500963,Dell Technologies,16
Q23133268,Match Group,16
Q1390577,"Twitter, Inc.",16
Q1516849,Shaw Communications,16
Q306764,Abbott Laboratories,16
Q894585,Boston Scientific,16
Q6840048,Microsemi,16
Q631047,HDFC Bank,16
Q5203782,D. R. Horton,16
Q667599,Newell Brands,16
