company,company_id,ticker,industry,company_url
Alliance Data,Q2837996,ADS,financial services,http://www.wikidata.org/entity/Q2837996
Alliance One International,Q16824882,,,http://www.wikidata.org/entity/Q16824882
AllianceBernstein,Q4732268,AB,asset management,http://www.wikidata.org/entity/Q4732268
Alliant Techsystems,Q238765,ATK,aerospace industry,http://www.wikidata.org/entity/Q238765
Allis-Chalmers Energy,Q4732707,,,http://www.wikidata.org/entity/Q4732707
Allison Transmission,Q2036530,ALSN,,http://www.wikidata.org/entity/Q2036530
Ally Financial,Q2032800,ALLY,bank,http://www.wikidata.org/entity/Q2032800
Alon Blue Square Israel Ltd,Q20502124,BSI,food retail sector,http://www.wikidata.org/entity/Q20502124
Alon USA,Q2839213,,energy supply,http://www.wikidata.org/entity/Q2839213
Altafiber,Q5120216,,telecommunications,http://www.wikidata.org/entity/Q5120216
Alteryx,Q73883753,AYX,software industry,http://www.wikidata.org/entity/Q73883753
Altice Portugal,Q2105426,,telecommunications,http://www.wikidata.org/entity/Q2105426
Altice USA,Q644289,ATUS,telecommunications,http://www.wikidata.org/entity/Q644289
Alumina Limited,Q447403,AWC,aluminium industry,http://www.wikidata.org/entity/Q447403
AmBev,Q2142669,ABEV,beverage industry,http://www.wikidata.org/entity/Q2142669
Ambac,Q456563,AMBC,financial services,http://www.wikidata.org/entity/Q456563
Amcol International Corporation,Q4742045,ACO,,http://www.wikidata.org/entity/Q4742045
Amcor,Q460307,AMCR,product packaging industry,http://www.wikidata.org/entity/Q460307
Amer Sports,Q152695,AS,sporting goods industry,http://www.wikidata.org/entity/Q152695
Ameren,Q462984,AEE,energy industry,http://www.wikidata.org/entity/Q462984
Ameresco,Q124723674,AMRC,energy industry,http://www.wikidata.org/entity/Q124723674
American Axle,Q4743120,AXL,automotive industry,http://www.wikidata.org/entity/Q4743120
American Campus Communities,Q4743275,ACC,student housing,http://www.wikidata.org/entity/Q4743275
American Eagle Outfitters,Q2842931,AEO,retail,http://www.wikidata.org/entity/Q2842931
American Financial Group,Q4743779,AFG,financial services,http://www.wikidata.org/entity/Q4743779
American Greetings,Q464767,AM,greeting card,http://www.wikidata.org/entity/Q464767
