company,companyLabel,companyId,exchangeLabel,ticker,industries,marketCap,marketCapDate,revenue,revenueDate
http://www.wikidata.org/entity/Q112659289,AST SpaceMobile,Q112659289,Nasdaq,ASTS,space industry,,,,
http://www.wikidata.org/entity/Q35476,AT&T,Q35476,New York Stock Exchange,T,telecommunications; postal and telecommunications services,180020000000,2022-01-31T00:00:00Z,122336000000,2024-01-01T00:00:00Z
http://www.wikidata.org/entity/Q213849,ATI Technologies,Q213849,Nasdaq,ATYT,semiconductor industry; computer hardware industry,,,1996700000,2004-01-01T00:00:00Z
http://www.wikidata.org/entity/Q4654872,ATP Oil and Gas,Q4654872,Nasdaq,,petroleum industry,,,,
http://www.wikidata.org/entity/Q4654921,ATS Medical,Q4654921,Nasdaq,,health technology,,,,
http://www.wikidata.org/entity/Q300120,AUO Corporation,Q300120,New York Stock Exchange,AUO,electronics,,,,
http://www.wikidata.org/entity/Q2266483,AVG Technologies,Q2266483,New York Stock Exchange,AVG,software industry; computer security,,,,
http://www.wikidata.org/entity/Q4655072,AVX Corporation,Q4655072,New York Stock Exchange,,electronics,,,,
http://www.wikidata.org/entity/Q16836218,AXIS Capital,Q16836218,New York Stock Exchange,AXS,reinsurance; general insurance,,,,
http://www.wikidata.org/entity/Q10397787,"Aaron's, Inc.",Q10397787,New York Stock Exchange,AAN,furniture,,,,
http://www.wikidata.org/entity/Q125447264,Abacus Life,Q125447264,Nasdaq,ABL,,,,,
http://www.wikidata.org/entity/Q14662364,AbbVie,Q14662364,New York Stock Exchange,ABBV,biotechnology; pharmaceutical industry,,,58054000000,2022-01-01T00:00:00Z
http://www.wikidata.org/entity/Q306764,Abbott Laboratories,Q306764,New York Stock Exchange,ABT,medical technology industry,57000000000,2016-03-02T00:00:00Z,41950000000,2024-01-01T00:00:00Z
http://www.wikidata.org/entity/Q319344,Abercrombie & Fitch,Q319344,New York Stock Exchange,ANF,retail,,,,
http://www.wikidata.org/entity/Q96575161,Ability Inc,Q96575161,Nasdaq,ABILF,technology industry,5134000,2022-11-15T00:00:00Z,,
http://www.wikidata.org/entity/Q4667884,AbioMed,Q4667884,Nasdaq,ABMD,,,,,
http://www.wikidata.org/entity/Q4670840,Acacia Research,Q4670840,Nasdaq,ACTG,,,,,
http://www.wikidata.org/entity/Q28407181,Acadia Healthcare,Q28407181,Nasdaq,ACHC,health care,,,,
http://www.wikidata.org/entity/Q4671580,Acadia Pharmaceuticals,Q4671580,Nasdaq,ACAD,pharmaceutical industry,,,,
http://www.wikidata.org/entity/Q4671583,Acadia Realty Trust,Q4671583,New York Stock Exchange,AKR,,,,,
http://www.wikidata.org/entity/Q17513511,Accelera,Q17513511,Nasdaq,HYGS,,,,,
http://www.wikidata.org/entity/Q91490380,Accelerate Diagnostics,Q91490380,Nasdaq,AXDX,,,,,
http://www.wikidata.org/entity/Q16824238,Acceleron Pharma,Q16824238,Nasdaq,XLRN,pharmaceutical industry,,,,
http://www.wikidata.org/entity/Q338825,Accenture,Q338825,New York Stock Exchange,ACN,information technology; management consulting industry; professional services industry,151580000000,2025-10-01T00:00:00Z,69672977000,2025-01-01T00:00:00Z
http://www.wikidata.org/entity/Q96791280,Accolade,Q96791280,New York Stock Exchange,ACCD,health technology,,,,
http://www.wikidata.org/entity/Q96791280,Accolade,Q96791280,Nasdaq,ACCD,health technology,,,,
http://www.wikidata.org/entity/Q4672920,Accuride Corporation,Q4672920,New York Stock Exchange,,,,,,
http://www.wikidata.org/entity/Q4674531,Acorda Therapeutics,Q4674531,Nasdaq,ACOR,pharmaceutical industry,,,,
http://www.wikidata.org/entity/Q4674547,Acorn Energy,Q4674547,Nasdaq,ACFN,energy industry,,,,
http://www.wikidata.org/entity/Q4674790,Acquity Group,Q4674790,New York Stock Exchange,,digital marketing,,,,
http://www.wikidata.org/entity/Q343204,Actavis,Q343204,New York Stock Exchange,ACT,pharmaceutical industry,,,,
http://www.wikidata.org/entity/Q240333,Actel,Q240333,Nasdaq,,integrated circuit,,,,
