company,company_id,exchange,ticker,industry,market_cap,market_cap_date,company_url,revenue,revenue_date
PPL,Q2044512,New York Stock Exchange,PPL,electricity supply company,,,http://www.wikidata.org/entity/Q2044512,7902000000.0,2022-01-01 00:00:00+00:00
Rockwell Automation,Q1529234,New York Stock Exchange,ROK,,,,http://www.wikidata.org/entity/Q1529234,7760400000.0,2022-01-01 00:00:00+00:00
Activision Blizzard,Q344341,Nasdaq,ATVI,video game industry,16400000000.0,2015-01-01 00:00:00+00:00,http://www.wikidata.org/entity/Q344341,7528000000.0,2022-01-01 00:00:00+00:00
Electronic Arts,Q173941,Nasdaq,EA,video game industry,37816000000.0,2025-05-01 00:00:00+00:00,http://www.wikidata.org/entity/Q173941,7426000000.0,2022-01-01 00:00:00+00:00
Albemarle Corporation,Q127074,New York Stock Exchange,ALB,chemical industry,,,http://www.wikidata.org/entity/Q127074,7320104000.0,2022-01-01 00:00:00+00:00
KeyBank,Q1740314,New York Stock Exchange,KEY,economics of banking,,,http://www.wikidata.org/entity/Q1740314,7272000000.0,2022-01-01 00:00:00+00:00
Grifols,Q901262,Nasdaq,GRFS,pharmaceutical industry,,,http://www.wikidata.org/entity/Q901262,7212000000.0,2024-01-01 00:00:00+00:00
Liberty Global,Q571779,Nasdaq,,,,,http://www.wikidata.org/entity/Q571779,7195700000.0,2022-01-01 00:00:00+00:00
ON Semiconductor,Q1671509,Nasdaq,ON,semiconductor industry,,,http://www.wikidata.org/entity/Q1671509,7082300000.0,2024-01-01 00:00:00+00:00
Cushman & Wakefield,Q1146061,New York Stock Exchange,CWK,real estate industry,3960000000.0,2018-11-15 00:00:00+00:00,http://www.wikidata.org/entity/Q1146061,6900000000.0,2017-01-01 00:00:00+00:00
Agilent Technologies,Q393762,New York Stock Exchange,A,high-performance liquid chromatography,,,http://www.wikidata.org/entity/Q393762,6848000000.0,2022-01-01 00:00:00+00:00
Yum! Brands,Q668737,New York Stock Exchange,YUM,retail,,,http://www.wikidata.org/entity/Q668737,6842000000.0,2022-01-01 00:00:00+00:00
Northern Trust,Q970695,Nasdaq,NTRS,financial services,20000000000.0,2017-01-01 00:00:00+00:00,http://www.wikidata.org/entity/Q970695,6761200000.0,2022-01-01 00:00:00+00:00
TechnipFMC,Q30324333,New York Stock Exchange,FTI,petroleum industry,,,http://www.wikidata.org/entity/Q30324333,6700400000.0,2022-01-01 00:00:00+00:00
Yum China,Q30645592,New York Stock Exchange,YUMC,fast food,,,http://www.wikidata.org/entity/Q30645592,6622000000.0,2016-01-01 00:00:00+00:00
GlobalFoundries,Q691592,Nasdaq,GFS,semiconductor industry,,,http://www.wikidata.org/entity/Q691592,6585079000.0,2021-01-01 00:00:00+00:00
Cincinnati Financial,Q5120253,Nasdaq,CINF,insurance,,,http://www.wikidata.org/entity/Q5120253,6557000000.0,2022-01-01 00:00:00+00:00
T. Rowe Price,Q3511946,Nasdaq,TROW,asset management,18000000000.0,2017-01-01 00:00:00+00:00,http://www.wikidata.org/entity/Q3511946,6488400000.0,2022-01-01 00:00:00+00:00
Hasbro,Q501476,Nasdaq,HAS,game industry,,,http://www.wikidata.org/entity/Q501476,6420600000.0,2021-01-01 00:00:00+00:00
Garmin Group,Q658789,New York Stock Exchange,GRMN,software industry,,,http://www.wikidata.org/entity/Q658789,6296903000.0,2024-01-01 00:00:00+00:00
"Nasdaq, Inc.",Q1472929,Nasdaq,NDAQ,financial services,,,http://www.wikidata.org/entity/Q1472929,6226000000.0,2022-01-01 00:00:00+00:00
Intuitive Surgical,Q2743863,Nasdaq,ISRG,,,,http://www.wikidata.org/entity/Q2743863,6222200000.0,2022-01-01 00:00:00+00:00
Dassault Systèmes,Q1172038,Nasdaq,DASTY,enterprise software,,,http://www.wikidata.org/entity/Q1172038,6213700000.0,2024-01-01 00:00:00+00:00
Organon & Co.,Q903372,New York Stock Exchange,OGN,pharmaceutical industry,,,http://www.wikidata.org/entity/Q903372,6174000000.0,2022-01-01 00:00:00+00:00
Ametek,Q470317,New York Stock Exchange,AME,industrial manufacturing,,,http://www.wikidata.org/entity/Q470317,6150530000.0,2022-01-01 00:00:00+00:00
Alexion Pharmaceuticals,Q204727,Nasdaq,ALXN,pharmaceutical industry,,,http://www.wikidata.org/entity/Q204727,6100000000.0,2021-01-01 00:00:00+00:00
Warner Music Group,Q21077,Nasdaq,WMG,music industry,,,http://www.wikidata.org/entity/Q21077,6037000000.0,2023-01-01 00:00:00+00:00
Thomson Reuters,Q1141267,New York Stock Exchange,TRI,media industry,45900000000.0,2021-08-24 00:00:00+00:00,http://www.wikidata.org/entity/Q1141267,5984000000.0,2020-01-01 00:00:00+00:00
Prologis,Q16983765,New York Stock Exchange,PLD,real estate investment trust,,,http://www.wikidata.org/entity/Q16983765,5973692000.0,2022-01-01 00:00:00+00:00
Voya Financial,Q5972276,New York Stock Exchange,VOYA,financial services,,,http://www.wikidata.org/entity/Q5972276,5922000000.0,2022-01-01 00:00:00+00:00
Avon Products Inc.,Q791285,New York Stock Exchange,AVP,cosmetics industry,1850000000.0,2017-03-13 00:00:00+00:00,http://www.wikidata.org/entity/Q791285,5718000000.0,2016-01-01 00:00:00+00:00
S&P Global Ratings,Q106158,New York Stock Exchange,,financial services,,,http://www.wikidata.org/entity/Q106158,5661000001.0,2016-01-01 00:00:00+00:00
Equinix,Q851641,Nasdaq,EQIX,Internet,,,http://www.wikidata.org/entity/Q851641,5562000000.0,2019-12-31 00:00:00+00:00
Xylem Inc.,Q3146975,New York Stock Exchange,XYL,industrial manufacturing,,,http://www.wikidata.org/entity/Q3146975,5522000000.0,2022-01-01 00:00:00+00:00
Skyworks Solutions,Q7538146,Nasdaq,SWKS,semiconductor industry,,,http://www.wikidata.org/entity/Q7538146,5485500000.0,2022-01-01 00:00:00+00:00
Moody's Corporation,Q675585,New York Stock Exchange,MCO,financial services,,,http://www.wikidata.org/entity/Q675585,5468000000.0,2022-01-01 00:00:00+00:00
Microchip Technology,Q1545076,Nasdaq,MCHP,electronics,,,http://www.wikidata.org/entity/Q1545076,5440000000.0,2021-01-01 00:00:00+00:00
