company_id,company,exchange,ticker,industry,market_cap,market_cap_date,company_url,revenue,revenue_date,primary_ticker
Q144617,TIM Group,New York Stock Exchange,TI,telecommunications,,,http://www.wikidata.org/entity/Q144617,14442000000.0,2024-01-01 00:00:00+00:00,TI
Q145168,Dollar General,New York Stock Exchange,DG,retail,,,http://www.wikidata.org/entity/Q145168,37844863000.0,2022-01-01 00:00:00+00:00,DG
Q1453620,Freeport-McMoRan,New York Stock Exchange,FCX,mining,,,http://www.wikidata.org/entity/Q1453620,,,FCX
Q1454852,Hormel,New York Stock Exchange,HRL,food processing,,,http://www.wikidata.org/entity/Q1454852,12458806000.0,2022-01-01 00:00:00+00:00,HRL
Q1459595,Revlon,New York Stock Exchange,REV,cosmetics industry,,,http://www.wikidata.org/entity/Q1459595,,,REV
Q14647,Sun Microsystems,Nasdaq,,computing,,,http://www.wikidata.org/entity/Q14647,,,
Q1465461,National Grid,New York Stock Exchange,NGG,electric power industry,,,http://www.wikidata.org/entity/Q1465461,,,NGG
Q14662364,AbbVie,New York Stock Exchange,ABBV,biotechnology,,,http://www.wikidata.org/entity/Q14662364,58054000000.0,2022-01-01 00:00:00+00:00,ABBV
Q1470525,Hospira,New York Stock Exchange,HSP,pharmaceutical industry,,,http://www.wikidata.org/entity/Q1470525,,,HSP
Q14705393,Solidscape,Nasdaq,SSYS,peripheral,,,http://www.wikidata.org/entity/Q14705393,,,SSYS
Q1470619,Parker Hannifin,New York Stock Exchange,PH,industrial manufacturing,,,http://www.wikidata.org/entity/Q1470619,15861608000.0,2022-01-01 00:00:00+00:00,PH
Q1471346,Whirlpool,New York Stock Exchange,WHR,home appliance industry,,,http://www.wikidata.org/entity/Q1471346,,,WHR
Q147224,HRG Group,New York Stock Exchange,HRG,,,,http://www.wikidata.org/entity/Q147224,,,HRG
Q1472539,Alpha Tomo Global Resoures Sdn Bhd,New York Stock Exchange,MAN,staffing industry,,,http://www.wikidata.org/entity/Q1472539,,,MAN
Q1472929,"Nasdaq, Inc.",Nasdaq,NDAQ,financial services,,,http://www.wikidata.org/entity/Q1472929,6226000000.0,2022-01-01 00:00:00+00:00,NDAQ
Q1476080,Private Media Group,Nasdaq,PRVT,pornography industry,,,http://www.wikidata.org/entity/Q1476080,,,PRVT
Q1477156,Seadrill,New York Stock Exchange,SDRL,petroleum industry,,,http://www.wikidata.org/entity/Q1477156,,,SDRL
Q14772,Baidu,Nasdaq,BIDU,Internet,,,http://www.wikidata.org/entity/Q14772,18238000000.0,2024-01-01 00:00:00+00:00,BIDU
Q1477575,Smithfield Foods,New York Stock Exchange,,agriculture,,,http://www.wikidata.org/entity/Q1477575,,,
Q1477661,PACCAR,Nasdaq,PCAR,automotive industry,,,http://www.wikidata.org/entity/Q1477661,28819700000.0,2022-01-01 00:00:00+00:00,PCAR
Q1479654,Wiley,New York Stock Exchange,WLY,,,,http://www.wikidata.org/entity/Q1479654,,,WLY
Q1485061,GE Aerospace,New York Stock Exchange,GE,aerospace industry,,,http://www.wikidata.org/entity/Q1485061,,,GE
Q1486956,Xcel Energy,Nasdaq; New York Stock Exchange,XEL,public utility,,,http://www.wikidata.org/entity/Q1486956,15310000000.0,2022-01-01 00:00:00+00:00,XEL
